service_id,service_category,service_name,description,eligibility,benefits,interest_rate,processing_fee,transaction_based_recommendation
1,Loan,Union Personal Loan,Unsecured personal loan for varied personal needs,Aged 21-65 with steady income and credit history,"Quick approval, flexible repayment options, no collateral required",12% APR,$100,Suited for individuals with irregular income or one-off financial needs
2,Loan,Union Home Loan,Financing for home purchase or renovation with competitive rates,"Aged 25-70, good credit score, and stable income","Long tenure options, low initial interest rate, tailored repayment plans",8% APR,$200,Recommended if transaction history shows regular savings and home-related expenses
3,Loan,Union Auto Loan,Loan for purchasing new or used vehicles with attractive terms,Must possess a valid driving license and a steady income,"Quick disbursement, competitive rates, flexible repayment periods",10% APR,$150,Ideal for customers whose spending pattern includes car-related services or insurance
4,Loan,Union Education Loan,Loan to cover higher education expenses including tuition and living costs,Students aged 18-35 with admission confirmation from a recognized institution,"Low interest rates, flexible repayment schedules, no collateral requirement",9% APR,$50,Fits customers with recurring tuition or education-related payments in their history
5,Scheme,Union Savings Scheme,Recurring savings plan offering attractive interest for disciplined savers,All account holders with regular income,"Attractive fixed interest rate on recurring deposits, automatic deductions",4% fixed,$0,Great for customers showing consistent monthly deposit patterns
6,Scheme,Union Investment Plan,Long-term investment scheme for market exposure and wealth growth,"Risk-tolerant investors, minimum investment of $1,000","Diversification benefits, professional portfolio management, potential for higher returns",Varies,$75 management fee,Recommended for customers with higher disposable income and surplus funds
7,Scheme,Union Retirement Scheme,Retirement planning scheme with tax benefits and compounded returns,Individuals aged 18 and above planning for long-term savings,"Tax advantages, compounding interest over time, structured periodic contributions",6% fixed,$0,Ideal for users with a long-term savings history and consistent balance growth
8,Account,Union Savings Account,Standard savings account with competitive interest and easy accessibility,All individuals,"Accrues interest, no monthly fees if minimum balance is maintained, free online banking",3% annual,$0 (if balance maintained),Recommended for users with frequent deposits and moderate withdrawal patterns
9,Account,Union Current Account,Current account tailored for businesses and professionals,Business owners or professionals with a minimum monthly turnover,"Overdraft facility, high transactional limits, tailored business support",N/A,$20 monthly fee,Suited for customers with high-volume business transactions
10,Account,Union Fixed Deposit,Fixed deposit account offering high returns for lump sum deposits,All account holders with surplus funds,"Higher interest rates than savings accounts, fixed tenure options",5% annual (for 1-year term),$0,Recommended when transaction history indicates growing balances and surplus cash
